family,run_id,training_iteration,timesteps_total,time_total_h,final_reward_mean,final_reward_min,final_reward_max,best_reward_mean,best_reward_iteration,best_reward_timestep,path
Baseline,PPO_Soccer_65438_00000_0_2026-04-21_17-59-40,585,4170121,8.00710361096594,-0.2798679983615875,-1.6227999925613403,0.0,-0.1910239991545677,559,4024399,ray_results/PPO_selfplay_baseline/PPO_Soccer_65438_00000_0_2026-04-21_17-59-40/progress.csv
Baseline,PPO_Soccer_a9da3_00000_0_2026-04-21_13-51-03,50,389995,0.6133625581529405,-0.3274439986795187,-1.9152000024914744,0.0,-0.2338840007781982,43,334104,ray_results/PPO_selfplay_baseline/PPO_Soccer_a9da3_00000_0_2026-04-21_13-51-03/progress.csv
Baseline,PPO_Soccer_e6436_00000_0_2026-04-21_14-50-00,3,23542,0.03542586856418185,-0.3027600032587846,-1.8867999985814097,0.0,-0.3027600032587846,3,23542,ray_results/PPO_selfplay_baseline/PPO_Soccer_e6436_00000_0_2026-04-21_14-50-00/progress.csv
Curriculum,PPO_Soccer_6efa0_00000_0_2026-04-21_17-24-09,646,4771383,8.003589655028449,1.743383162186153,-0.4834704527716504,6.820670312257513,2.436289543087907,173,1322017,ray_results/PPO_curriculum_multiagent/PPO_Soccer_6efa0_00000_0_2026-04-21_17-24-09/progress.csv
Curriculum V4,PPO_Soccer_4a880_00000_0_2026-04-22_00-32-38,127,888215,1.512160466313362,1.848693253662933,-0.3778030004709369,8.59546076494029,2.263088083548242,101,719914,ray_results/PPO_curriculum_multiagent_V4_aggressive_combo/PPO_Soccer_4a880_00000_0_2026-04-22_00-32-38/progress.csv
Reward Shaping,PPO_Soccer_d5022_00000_0_2026-04-21_18-24-16,870,5064375,8.000035369859802,0.1992923245815664,-0.1229730693053372,0.9304050481282784,1.6428801505541155,72,554815,ray_results/PPO_selfplay_shaped/PPO_Soccer_d5022_00000_0_2026-04-21_18-24-16/progress.csv
Reward Shaping,PPO_Soccer_dbb5e_00000_0_2026-04-21_15-11-11,137,1067834,1.57728703684277,-2.5517040029571105,-5.9331999996153355,-0.095200051307678,-2.38431600048535,111,870022,ray_results/PPO_selfplay_shaped/PPO_Soccer_dbb5e_00000_0_2026-04-21_15-11-11/progress.csv
Reward Shaping,PPO_Soccer_a6de6_00000_0_2026-04-21_13-58-07,42,330824,0.5470296608077155,-3.4305250257659208,-5.7966646145430225,0.050712043762207,-3.2274863748955176,34,265533,ray_results/PPO_selfplay_shaped/PPO_Soccer_a6de6_00000_0_2026-04-21_13-58-07/progress.csv
Reward Shaping,PPO_Soccer_301b1_00000_0_2026-04-21_14-59-14,2,16425,0.025586825278070238,-3.528231029512027,-4.7805976014135005,-0.1802265405654906,-3.3780015043158396,1,8272,ray_results/PPO_selfplay_shaped/PPO_Soccer_301b1_00000_0_2026-04-21_14-59-14/progress.csv
Reward Shaping,PPO_Soccer_67e14_00000_0_2026-04-21_14-53-37,2,13917,0.024695177276929218,-3.0780586038816766,-5.653669510364253,-0.2926482877731322,-2.6711506584610283,1,7008,ray_results/PPO_selfplay_shaped/PPO_Soccer_67e14_00000_0_2026-04-21_14-53-37/progress.csv
Self-Play Archive,PPO_Soccer_32674_00000_0_2026-04-21_19-24-09,485,3762115,8.00496728334162,-0.3726240010932088,-1.9679999984800816,0.0,-0.2030759998876601,107,846233,ray_results/PPO_selfplay_rec/PPO_Soccer_32674_00000_0_2026-04-21_19-24-09/progress.csv
Self-Play Archive,PPO_Soccer_a6b4d_00000_0_2026-04-21_13-58-07,40,316769,0.5599597124258677,-0.3529960018210113,-1.984400000423193,0.0,-0.1916639985144138,17,134204,ray_results/PPO_selfplay_rec/PPO_Soccer_a6b4d_00000_0_2026-04-21_13-58-07/progress.csv
Self-Play Archive,PPO_Soccer_d79e6_00000_0_2026-04-21_14-42-26,8,62820,0.10110430326726702,-0.4002936702646032,-1.950399998575449,0.0,-0.4002936702646032,8,62820,ray_results/PPO_selfplay_rec/PPO_Soccer_d79e6_00000_0_2026-04-21_14-42-26/progress.csv
Self-Play Archive,PPO_Soccer_b041d_00000_0_2026-04-21_13-44-04,4,30218,0.06598412659433153,-0.438809522205875,-1.9055999964475632,0.0,-0.3033793121576309,3,23399,ray_results/PPO_selfplay_rec/PPO_Soccer_b041d_00000_0_2026-04-21_13-44-04/progress.csv
Shared V5,PPO_Soccer_9fc34_00000_0_2026-04-22_01-10-48,136,937995,1.5009484314918518,1.86143853485677,0.0136083642381259,9.440224471748422,2.3738332239609874,113,788789,ray_results/PPO_curriculum_shared_V5_dynamic_aggressive/PPO_Soccer_9fc34_00000_0_2026-04-22_01-10-48/progress.csv
